network,station,location,channel,CalBlockette,start,end,filename
IU,NWAO,10,BHZ,310,2018-032 18:57:17,2018-032 18:58:17,/msd/IU_NWAO/2018/032/10_BHZ.512.seed
IU,NWAO,10,BHZ,310,2018-032 19:05:01,2018-032 19:06:01,/msd/IU_NWAO/2018/032/10_BHZ.512.seed
IU,NWAO,10,BHZ,310,2018-032 19:29:01,2018-032 19:30:01,/msd/IU_NWAO/2018/032/10_BHZ.512.seed
IU,NWAO,10,BHZ,320,2018-032 19:42:00,2018-032 19:57:00,/msd/IU_NWAO/2018/032/10_BHZ.512.seed
IU,NWAO,10,EHZ,310,2018-032 18:55:03,2018-032 18:56:03,/msd/IU_NWAO/2018/032/10_EHZ.512.seed
IU,NWAO,10,EHZ,310,2018-032 18:57:17,2018-032 18:58:17,/msd/IU_NWAO/2018/032/10_EHZ.512.seed
IU,NWAO,10,EHZ,310,2018-032 19:05:01,2018-032 19:06:01,/msd/IU_NWAO/2018/032/10_EHZ.512.seed
IU,NWAO,10,EHZ,310,2018-032 19:29:01,2018-032 19:30:01,/msd/IU_NWAO/2018/032/10_EHZ.512.seed
IU,NWAO,10,EHZ,320,2018-032 19:42:00,2018-032 19:57:00,/msd/IU_NWAO/2018/032/10_EHZ.512.seed
IU,TUC,10,BH1,320,2018-032 20:23:00,2018-032 20:38:00,/msd/IU_TUC/2018/032/10_BH1.512.seed
IU,TUC,10,BH1,320,2018-032 21:14:00,2018-032 21:29:00,/msd/IU_TUC/2018/032/10_BH1.512.seed
IU,TUC,10,BH2,320,2018-032 20:23:00,2018-032 20:38:00,/msd/IU_TUC/2018/032/10_BH2.512.seed
IU,TUC,10,BH2,320,2018-032 21:14:00,2018-032 21:29:00,/msd/IU_TUC/2018/032/10_BH2.512.seed
IU,TUC,10,BHZ,320,2018-032 20:23:00,2018-032 20:38:00,/msd/IU_TUC/2018/032/10_BHZ.512.seed
IU,TUC,10,BHZ,320,2018-032 21:14:00,2018-032 21:29:00,/msd/IU_TUC/2018/032/10_BHZ.512.seed
IU,TUC,10,EHZ,320,2018-032 20:23:00,2018-032 20:38:00,/msd/IU_TUC/2018/032/10_EHZ.512.seed
IU,TUC,10,EHZ,320,2018-032 21:14:00,2018-032 21:29:00,/msd/IU_TUC/2018/032/10_EHZ.512.seed
IU,NWAO,00,BH1,320,2018-033 00:27:00,2018-033 04:27:00,/msd/IU_NWAO/2018/033/00_BH1.512.seed
IU,NWAO,00,BH1,320,2018-033 04:27:12,2018-033 08:27:12,/msd/IU_NWAO/2018/033/00_BH1.512.seed
IU,NWAO,10,BH1,310,2018-033 08:44:00,2018-033 09:24:00,/msd/IU_NWAO/2018/033/10_BH1.512.seed
IU,NWAO,10,BH1,310,2018-033 09:37:00,2018-033 10:17:00,/msd/IU_NWAO/2018/033/10_BH1.512.seed
IU,NWAO,10,BH1,310,2018-033 10:30:00,2018-033 10:40:00,/msd/IU_NWAO/2018/033/10_BH1.512.seed
IU,NWAO,10,BH1,310,2018-033 10:53:00,2018-033 11:03:00,/msd/IU_NWAO/2018/033/10_BH1.512.seed
IU,NWAO,10,BH1,300,2018-033 11:26:00,2018-033 11:41:00,/msd/IU_NWAO/2018/033/10_BH1.512.seed
IU,NWAO,10,BH1,320,2018-033 12:09:00,2018-033 16:09:00,/msd/IU_NWAO/2018/033/10_BH1.512.seed
IU,NWAO,00,BH2,320,2018-033 00:27:00,2018-033 04:27:00,/msd/IU_NWAO/2018/033/00_BH2.512.seed
IU,NWAO,00,BH2,320,2018-033 04:27:12,2018-033 08:27:12,/msd/IU_NWAO/2018/033/00_BH2.512.seed
IU,NWAO,10,BH2,310,2018-033 08:44:00,2018-033 09:24:00,/msd/IU_NWAO/2018/033/10_BH2.512.seed
IU,NWAO,10,BH2,310,2018-033 09:37:00,2018-033 10:17:00,/msd/IU_NWAO/2018/033/10_BH2.512.seed
IU,NWAO,10,BH2,310,2018-033 10:30:00,2018-033 10:40:00,/msd/IU_NWAO/2018/033/10_BH2.512.seed
IU,NWAO,10,BH2,310,2018-033 10:53:00,2018-033 11:03:00,/msd/IU_NWAO/2018/033/10_BH2.512.seed
IU,NWAO,10,BH2,300,2018-033 11:26:00,2018-033 11:41:00,/msd/IU_NWAO/2018/033/10_BH2.512.seed
IU,NWAO,10,BH2,320,2018-033 12:09:00,2018-033 16:09:00,/msd/IU_NWAO/2018/033/10_BH2.512.seed
IU,NWAO,00,BHZ,320,2018-033 00:27:00,2018-033 04:27:00,/msd/IU_NWAO/2018/033/00_BHZ.512.seed
IU,NWAO,00,BHZ,320,2018-033 04:27:12,2018-033 08:27:12,/msd/IU_NWAO/2018/033/00_BHZ.512.seed
IU,NWAO,10,BHZ,310,2018-033 08:44:00,2018-033 09:24:00,/msd/IU_NWAO/2018/033/10_BHZ.512.seed
IU,NWAO,10,BHZ,310,2018-033 09:37:00,2018-033 10:17:00,/msd/IU_NWAO/2018/033/10_BHZ.512.seed
IU,NWAO,10,BHZ,310,2018-033 10:30:00,2018-033 10:40:00,/msd/IU_NWAO/2018/033/10_BHZ.512.seed
IU,NWAO,10,BHZ,310,2018-033 10:53:00,2018-033 11:03:00,/msd/IU_NWAO/2018/033/10_BHZ.512.seed
IU,NWAO,10,BHZ,300,2018-033 11:26:00,2018-033 11:41:00,/msd/IU_NWAO/2018/033/10_BHZ.512.seed
