network,station,location,channel,CalBlockette,start,end,filename
IU,LCO,10,BHZ,310,2018-017 18:03:00,2018-017 18:13:00,/msd/IU_LCO/2018/017/10_BHZ.512.seed
IU,LCO,10,BHZ,300,2018-017 18:36:00,2018-017 18:51:00,/msd/IU_LCO/2018/017/10_BHZ.512.seed
IU,LCO,10,BHZ,320,2018-017 19:19:00,2018-017 23:19:00,/msd/IU_LCO/2018/017/10_BHZ.512.seed
US,AAM,00,BHZ,310,2018-017 03:55:00,2018-017 04:35:00,/msd/US_AAM/2018/017/00_BHZ.512.seed
US,AAM,00,BHZ,310,2018-017 04:48:00,2018-017 05:28:00,/msd/US_AAM/2018/017/00_BHZ.512.seed
US,AAM,00,BHZ,310,2018-017 05:41:00,2018-017 05:51:00,/msd/US_AAM/2018/017/00_BHZ.512.seed
US,AAM,00,BHZ,310,2018-017 06:04:00,2018-017 06:14:00,/msd/US_AAM/2018/017/00_BHZ.512.seed
US,AAM,00,BHZ,300,2018-017 06:36:59,2018-017 06:51:59,/msd/US_AAM/2018/017/00_BHZ.512.seed
US,AAM,00,BHZ,320,2018-017 07:20:00,2018-017 11:20:00,/msd/US_AAM/2018/017/00_BHZ.512.seed
US,AAM,00,EHZ,310,2018-017 03:55:00,2018-017 04:35:00,/msd/US_AAM/2018/017/00_EHZ.512.seed
US,AAM,00,EHZ,310,2018-017 04:48:00,2018-017 05:28:00,/msd/US_AAM/2018/017/00_EHZ.512.seed
US,AAM,00,EHZ,310,2018-017 05:41:00,2018-017 05:51:00,/msd/US_AAM/2018/017/00_EHZ.512.seed
US,AAM,00,EHZ,310,2018-017 06:04:00,2018-017 06:14:00,/msd/US_AAM/2018/017/00_EHZ.512.seed
US,AAM,00,EHZ,300,2018-017 06:36:59,2018-017 06:51:59,/msd/US_AAM/2018/017/00_EHZ.512.seed
US,AAM,00,EHZ,320,2018-017 07:20:00,2018-017 11:20:00,/msd/US_AAM/2018/017/00_EHZ.512.seed
US,MNTX,00,BHZ,310,2018-017 19:27:00,2018-017 19:28:00,/msd/US_MNTX/2018/017/00_BHZ.512.seed
US,MNTX,00,BHZ,310,2018-017 22:40:01,2018-017 22:41:01,/msd/US_MNTX/2018/017/00_BHZ.512.seed
US,MNTX,00,BHZ,310,2018-017 22:50:00,2018-017 23:30:00,/msd/US_MNTX/2018/017/00_BHZ.512.seed
US,MNTX,00,BHZ,310,2018-017 23:43:00,2018-018 00:23:00,/msd/US_MNTX/2018/017/00_BHZ.512.seed
IU,SFJD,00,BHZ,310,2018-018 19:18:59,2018-018 19:58:59,/msd/IU_SFJD/2018/018/00_BHZ.512.seed
IU,SFJD,00,BHZ,310,2018-018 20:12:00,2018-018 20:52:00,/msd/IU_SFJD/2018/018/00_BHZ.512.seed
IU,SFJD,00,BHZ,310,2018-018 21:05:00,2018-018 21:15:00,/msd/IU_SFJD/2018/018/00_BHZ.512.seed
IU,SFJD,00,BHZ,310,2018-018 21:28:00,2018-018 21:38:00,/msd/IU_SFJD/2018/018/00_BHZ.512.seed
IU,SFJD,00,BHZ,300,2018-018 22:01:00,2018-018 22:16:00,/msd/IU_SFJD/2018/018/00_BHZ.512.seed
IU,SFJD,00,BHZ,320,2018-018 22:44:00,2018-019 02:44:00,/msd/IU_SFJD/2018/018/00_BHZ.512.seed
IU,SFJD,10,BHZ,310,2018-018 00:09:59,2018-018 00:19:59,/msd/IU_SFJD/2018/018/10_BHZ.512.seed
IU,SFJD,10,BHZ,310,2018-018 00:32:59,2018-018 00:42:59,/msd/IU_SFJD/2018/018/10_BHZ.512.seed
IU,SFJD,10,BHZ,300,2018-018 01:05:59,2018-018 01:20:59,/msd/IU_SFJD/2018/018/10_BHZ.512.seed
IU,SFJD,10,BHZ,320,2018-018 01:48:59,2018-018 05:48:59,/msd/IU_SFJD/2018/018/10_BHZ.512.seed
IU,SFJD,10,EHZ,310,2018-018 00:09:59,2018-018 00:19:59,/msd/IU_SFJD/2018/018/10_EHZ.512.seed
IU,SFJD,10,EHZ,310,2018-018 00:32:59,2018-018 00:42:59,/msd/IU_SFJD/2018/018/10_EHZ.512.seed
IU,SFJD,10,EHZ,300,2018-018 01:05:59,2018-018 01:20:59,/msd/IU_SFJD/2018/018/10_EHZ.512.seed
IU,SFJD,10,EHZ,320,2018-018 01:48:59,2018-018 05:48:59,/msd/IU_SFJD/2018/018/10_EHZ.512.seed
IU,LCO,60,BHZ,300,2018-018 00:02:00,2018-018 00:32:00,/msd/IU_LCO/2018/018/60_BHZ.512.seed
IU,LCO,60,BHZ,310,2018-018 01:10:00,2018-018 01:55:00,/msd/IU_LCO/2018/018/60_BHZ.512.seed
IU,LCO,60,BHZ,320,2018-018 02:48:00,2018-018 06:48:00,/msd/IU_LCO/2018/018/60_BHZ.512.seed
IU,LCO,60,BHZ,320,2018-018 06:50:01,2018-018 10:50:01,/msd/IU_LCO/2018/018/60_BHZ.512.seed
US,MNTX,00,BHZ,310,2018-018 00:36:00,2018-018 00:46:00,/msd/US_MNTX/2018/018/00_BHZ.512.seed
US,MNTX,00,BHZ,310,2018-018 00:59:00,2018-018 01:09:00,/msd/US_MNTX/2018/018/00_BHZ.512.seed
US,MNTX,00,BHZ,300,2018-018 01:32:00,2018-018 01:47:00,/msd/US_MNTX/2018/018/00_BHZ.512.seed
US,MNTX,00,BHZ,320,2018-018 02:15:00,2018-018 06:15:00,/msd/US_MNTX/2018/018/00_BHZ.512.seed
IU,SFJD,00,BHZ,320,2018-019 02:44:22,2018-019 06:44:22,/msd/IU_SFJD/2018/019/00_BHZ.512.seed
IU,ULN,00,BHZ,320,2018-020 03:02:00,2018-020 03:17:00,/msd/IU_ULN/2018/020/00_BHZ.512.seed
IU,ULN,00,BHZ,310,2018-020 03:15:00,2018-020 03:16:00,/msd/IU_ULN/2018/020/00_BHZ.512.seed
IU,ULN,00,BHZ,320,2018-020 03:28:00,2018-020 03:43:00,/msd/IU_ULN/2018/020/00_BHZ.512.seed
IU,ULN,00,EHZ,310,2017-334 21:17:00,2017-334 21:27:00,/msd/IU_ULN/2018/020/00_EHZ.512.seed
IU,ULN,00,EHZ,300,2017-334 21:50:00,2017-334 22:05:00,/msd/IU_ULN/2018/020/00_EHZ.512.seed
IU,ULN,00,EHZ,320,2017-334 22:33:00,2017-335 02:33:00,/msd/IU_ULN/2018/020/00_EHZ.512.seed
IU,ULN,00,EHZ,320,2017-335 02:33:21,2017-335 06:33:21,/msd/IU_ULN/2018/020/00_EHZ.512.seed
IU,ULN,00,EHZ,320,2018-020 03:02:00,2018-020 03:17:00,/msd/IU_ULN/2018/020/00_EHZ.512.seed
IU,ULN,00,EHZ,310,2018-020 03:15:00,2018-020 03:16:00,/msd/IU_ULN/2018/020/00_EHZ.512.seed
IU,ULN,00,EHZ,320,2018-020 03:28:00,2018-020 03:43:00,/msd/IU_ULN/2018/020/00_EHZ.512.seed
CU,GTBY,00,BHZ,320,2018-022 18:05:00,2018-022 18:20:00,/msd/CU_GTBY/2018/022/00_BHZ.512.seed
CU,GTBY,00,BHZ,310,2018-022 19:02:00,2018-022 19:42:00,/msd/CU_GTBY/2018/022/00_BHZ.512.seed
CU,GTBY,00,BHZ,310,2018-022 19:55:00,2018-022 20:35:00,/msd/CU_GTBY/2018/022/00_BHZ.512.seed
CU,GTBY,00,BHZ,310,2018-022 20:48:00,2018-022 20:58:00,/msd/CU_GTBY/2018/022/00_BHZ.512.seed
CU,GTBY,00,BHZ,310,2018-022 21:11:00,2018-022 21:21:00,/msd/CU_GTBY/2018/022/00_BHZ.512.seed
CU,GTBY,00,BHZ,300,2018-022 21:44:00,2018-022 21:59:00,/msd/CU_GTBY/2018/022/00_BHZ.512.seed
CU,GTBY,00,BHZ,320,2018-022 22:27:00,2018-023 02:27:00,/msd/CU_GTBY/2018/022/00_BHZ.512.seed
CU,GTBY,00,EHZ,320,2018-022 18:05:00,2018-022 18:20:00,/msd/CU_GTBY/2018/022/00_EHZ.512.seed
GS,ASL8,00,BHZ,310,2018-023 23:02:10,2018-023 23:03:10,/msd/GS_ASL8/2018/023/00_BHZ.512.seed
GS,ASL8,00,BHZ,310,2018-023 23:08:09,2018-023 23:09:09,/msd/GS_ASL8/2018/023/00_BHZ.512.seed
GS,ASL8,00,BHZ,320,2018-023 23:20:01,2018-023 23:21:01,/msd/GS_ASL8/2018/023/00_BHZ.512.seed
GS,ASL8,10,BHZ,310,2018-023 22:52:01,2018-023 22:53:01,/msd/GS_ASL8/2018/023/10_BHZ.512.seed
GS,ASL8,10,BHZ,310,2018-023 23:11:01,2018-023 23:12:01,/msd/GS_ASL8/2018/023/10_BHZ.512.seed
GS,ASL8,10,BHZ,320,2018-023 23:15:01,2018-023 23:16:01,/msd/GS_ASL8/2018/023/10_BHZ.512.seed
GS,ASL8,10,BHZ,320,2018-023 23:18:01,2018-023 23:19:01,/msd/GS_ASL8/2018/023/10_BHZ.512.seed
GS,ASL8,10,BHZ,320,2018-023 23:40:00,2018-023 23:55:00,/msd/GS_ASL8/2018/023/10_BHZ.512.seed
GS,ASL8,10,BHZ,320,2018-024 16:36:00,2018-024 16:51:00,/msd/GS_ASL8/2018/024/10_BHZ.512.seed
GS,ASL8,10,BHZ,320,2018-024 19:16:00,2018-024 23:16:00,/msd/GS_ASL8/2018/024/10_BHZ.512.seed
US,MVCO,00,BHZ,320,2018-029 19:36:00,2018-029 19:51:00,/msd/US_MVCO/2018/029/00_BHZ.512.seed
US,MVCO,00,BHZ,310,2018-029 20:12:00,2018-029 20:52:00,/msd/US_MVCO/2018/029/00_BHZ.512.seed
US,MVCO,00,BHZ,310,2018-029 21:05:00,2018-029 21:45:00,/msd/US_MVCO/2018/029/00_BHZ.512.seed
US,MVCO,00,BHZ,310,2018-029 22:25:01,2018-029 22:26:01,/msd/US_MVCO/2018/029/00_BHZ.512.seed
US,MVCO,00,BHZ,310,2018-029 23:06:07,2018-029 23:07:07,/msd/US_MVCO/2018/029/00_BHZ.512.seed
US,MVCO,00,BHZ,320,2018-029 23:22:00,2018-029 23:37:00,/msd/US_MVCO/2018/029/00_BHZ.512.seed
US,MVCO,00,EHZ,320,2018-029 19:36:00,2018-029 19:51:00,/msd/US_MVCO/2018/029/00_EHZ.512.seed
US,MVCO,00,EHZ,310,2018-029 20:12:00,2018-029 20:52:00,/msd/US_MVCO/2018/029/00_EHZ.512.seed
